Denver East
date,time,oponent,location,score
11/29,4:00p,Vista Ridge ,Game Details: Gojo Sports Tipoff Classic,(W) 77 - 49
12/1,8:00p,Fossil Ridge ,Game Details: Gojo Sports Tipoff Classic,(W) 63 - 53
12/2,3:00p,Far Northeast Warriors ,Game Details: Gojo Sports Tipoff Classic,(W) 67 - 54
12/4,5:00p,Sierra ,Game Details: Fairview Festival,(W) 80 - 50
12/6,6:30p,Broomfield ,Game Details: Fairview Festival,(W) 62 - 48
12/8,8:00p,Arvada West ,Game Details: Fairview Festival,(W) 62 - 51
12/21,5:50p,Desert Pines ,Game Details: 2017 Tarkanian Classic,
12/22,TBA,TBA,Game Details: 2017 Tarkanian Classic,
12/22,TBA,TBA,Game Details: 2017 Tarkanian Classic,
12/23,TBA,TBA,Game Details: 2017 Tarkanian Classic,
1/5,7:00p,Chaparral ,Location: Denver East High School,
1/8,7:00p,Lakewood ,Location: Denver East High School,
1/20,8:30p,Bellevue West ,,
1/22,7:00p,Eaglecrest ,Location: Eaglecrest High School,
1/23,5:30p,Kennedy ,Location: Denver East High School,
1/26,5:30p,Thomas Jefferson ,Game Details: Thunderdome,
1/27,1:00p,Far Northeast Warriors ,Game Details: Thunderdome,
1/29,5:30p,Denver North ,Location: Denver North High School,
2/2,5:30p,Lincoln ,Location: Denver East High School,
2/6,7:00p,Doherty ,Location: Doherty High School,
2/10,1:00p,Denver South ,Game Details: Thunderdome,
2/12,5:30p,Denver West ,Location: Denver West High School,
2/17,1:00p,George Washington ,,

Broomfield
date,time,oponent,location,score
11/30,6:30p,Castle View ,Game Details: Broomfield High School,(W) 69 - 57
12/4,3:30p,Palmer ,Game Details: Fairview Festival,(W) 62 - 43
12/6,6:30p,Denver East ,Game Details: Fairview Festival,(L) 62 - 48
12/8,6:30p,Fairview ,,(W) 71 - 49
12/13,7:00p,Highlands Ranch ,Location: Highlands Ranch High School,(L) 61 - 46
12/16,6:00p,Holy Family ,Location: Broomfield High School,(W) 72 - 45
12/21,4:00p,Legend ,Game Details: Cherry Creek Holiday Classic,
12/22,TBA,TBA,Game Details: Cherry Creek Holiday Classic,
12/23,TBA,TBA,Game Details: Cherry Creek Holiday Classic,
1/5,6:30p,Mountain Range ,Location: Broomfield High School,
1/6,2:00p,Brighton ,Location: Brighton High School,
1/9,6:30p,Poudre ,Location: Poudre High School,
